#{"t_start": 1707322821.608657, "env_id": "MiniGrid-Empty-5x5-v0"}
r,l,t
0.0,100,0.139884
0.406,66,0.21619
0.0,100,0.337756
0.28,80,0.440497
0.46,60,0.517457
0.0,100,0.642982
0.388,68,0.727848
0.361,71,0.816607
0.0,100,0.942201
0.0,100,1.069293
0.667,37,1.117717
0.0,100,1.248753
0.676,36,1.295716
0.0,100,1.423618
0.622,42,1.481519
0.127,97,1.602651
0.0,100,1.733782
0.0,100,1.865361
0.0,100,1.997022
0.0,100,2.123992
0.0,100,2.248886
0.0,100,2.379917
0.559,49,2.443546
0.604,44,2.508843
0.0,100,2.859699
0.0,100,3.050512
0.0,100,3.251782
0.577,47,3.342474
0.1,100,3.541122
0.0,100,3.738565
0.0,100,3.935134
0.712,32,3.997604
0.0,100,4.186951
0.0,100,4.377091
0.46,60,4.494835
0.613,43,4.57886
0.0,100,4.769122
0.757,27,4.817663
0.0,100,5.010973
0.487,57,5.119984
0.0,100,5.315784
0.721,31,5.379325
0.244,84,5.535281
0.0,100,5.738959
0.0,100,5.935506
0.604,44,6.021039
0.0,100,6.216734
0.0,100,6.414907
0.0,100,6.611213
0.109,99,9.552886
0.577,47,9.650808
0.712,32,9.715397
0.0,100,9.920084
0.0,100,10.124305
0.0,100,10.335058
0.0,100,10.534549
0.0,100,10.74178
0.775,25,10.79034
0.757,27,10.845652
0.0,100,11.041863
0.127,97,11.236097
0.163,93,11.460849
0.0,100,11.686066
0.0,100,11.907251
0.568,48,12.011419
0.262,82,12.172154
0.0,100,12.364358
0.0,100,12.562726
0.397,67,12.700639
0.0,100,12.901991
0.0,100,13.103682
0.883,13,13.137969
0.0,100,13.338109
0.568,48,13.432716
0.0,100,16.425629
0.631,41,16.505944
0.0,100,16.722223
0.0,100,16.916737
0.0,100,17.112764
0.0,100,17.31362
0.0,100,17.512953
0.0,100,17.717028
0.388,68,17.848742
0.0,100,18.046459
0.0,100,18.252317
0.0,100,18.457247
0.0,100,18.659164
0.0,100,18.865797
0.0,100,19.068172
0.0,100,19.27659
0.0,100,19.488526
0.0,100,19.698762
0.487,57,19.822734
0.0,100,20.017091
0.172,92,20.20087
0.127,97,20.398432
0.0,100,23.676479
0.0,100,23.894212
0.0,100,24.135064
0.226,86,24.328732
0.487,57,24.449318
0.0,100,24.655048
0.0,100,24.907976
0.0,100,25.12676
0.145,95,25.331695
0.0,100,25.598181
